check	status	detail
Mpower CRN main-stream identity P04/9	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/9	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/10	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/10	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/10	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/10	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 10	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/10	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/10	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/10	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/11	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/11	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/11	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/11	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 11	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/11	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/11	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/11	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/12	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/12	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/12	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/12	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 12	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/12	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/12	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/12	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/13	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/13	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/13	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/13	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 13	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/13	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/13	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/13	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/14	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/14	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/14	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/14	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 14	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/14	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/14	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/14	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/15	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/15	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/15	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/15	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 15	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/15	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/15	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/15	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/16	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/16	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/16	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/16	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 16	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/16	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/16	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/16	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/17	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/17	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/17	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/17	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 17	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/17	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/17	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/17	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/18	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/18	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/18	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/18	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 18	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/18	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/18	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/18	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/19	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/19	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/19	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/19	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 19	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/19	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/19	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/19	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/20	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/20	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/20	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/20	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 20	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/20	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/20	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/20	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/21	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/21	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/21	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/21	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 21	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/21	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/21	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/21	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/22	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/22	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/22	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/22	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 22	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/22	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/22	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/22	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/23	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/23	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/23	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/23	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 23	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/23	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/23	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/23	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/24	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/24	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/24	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/24	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 24	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/24	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/24	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/24	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/25	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/25	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/25	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/25	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 25	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/25	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/25	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/25	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/26	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/26	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/26	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/26	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 26	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/26	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/26	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/26	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/27	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/27	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/27	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/27	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 27	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/27	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/27	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/27	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/28	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/28	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/28	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/28	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 28	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/28	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/28	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/28	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/29	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/29	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/29	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/29	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 29	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/29	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/29	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/29	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/30	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/30	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/30	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/30	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 30	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/30	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/30	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/30	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/31	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/31	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/31	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/31	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 31	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/31	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/31	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/31	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/32	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/32	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/32	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/32	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 32	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/32	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/32	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/32	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/33	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/33	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/33	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/33	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 33	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/33	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/33	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/33	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/34	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/34	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/34	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/34	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 34	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/34	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/34	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/34	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/35	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/35	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/35	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/35	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 35	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/35	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/35	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/35	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/36	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/36	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/36	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/36	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 36	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/36	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/36	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/36	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/37	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/37	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/37	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/37	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 37	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/37	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/37	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/37	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/38	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/38	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/38	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/38	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 38	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/38	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/38	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/38	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/39	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/39	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/39	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/39	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 39	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/39	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/39	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/39	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/40	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/40	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/40	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/40	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 40	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/40	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/40	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/40	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/41	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/41	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/41	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/41	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 41	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/41	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/41	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/41	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/42	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/42	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/42	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/42	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 42	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/42	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/42	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/42	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/43	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/43	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/43	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/43	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 43	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/43	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/43	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/43	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/44	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/44	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/44	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/44	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 44	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/44	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/44	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/44	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/45	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/45	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/45	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/45	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 45	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/45	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/45	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/45	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/46	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/46	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/46	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/46	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 46	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/46	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/46	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/46	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/47	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/47	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/47	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/47	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 47	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/47	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/47	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/47	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/48	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/48	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/48	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/48	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 48	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/48	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/48	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/48	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/49	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/49	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/49	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/49	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 49	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/49	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/49	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/49	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/50	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/50	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/50	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/50	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 50	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/50	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/50	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/50	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/51	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/51	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/51	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/51	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 51	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/51	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/51	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/51	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/52	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/52	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/52	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/52	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 52	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/52	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/52	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/52	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/53	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/53	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/53	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/53	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 53	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/53	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/53	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/53	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/54	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/54	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/54	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/54	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 54	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/54	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/54	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/54	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/55	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/55	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/55	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/55	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 55	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/55	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/55	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/55	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/56	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/56	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/56	PASS	Threefry substream 2 mask
